SAl,SAz,DNI,DHI,GHI
36.56,91.31,72229,21522,75273
49.22,100.48,63701,24410,82942
61.39,113.87,56772,25205,87702
71.74,139.48,63143,24027,93908
75.34,190.14,68315,25139,93459
68.46,232.07,63178,27302,80757
57.18,251.78,54404,26430,63155
44.76,263.17,41759,23032,43696
32.06,271.61,30954,15364,24828
36.69,91.03,79491,19075,78743
49.35,100.13,73244,21729,89183
61.55,113.43,63144,23648,91818
71.96,139.02,60907,25432,90631
75.6,190.34,63621,27129,87505
68.64,232.6,63229,27273,79019
57.31,252.2,58428,25166,64099
44.87,263.5,49291,21587,45915
32.17,271.89,35541,15741,26788
36.81,90.74,78184,19616,78648
49.48,99.79,73757,21409,91127
61.71,113,64642,23020,94904
72.17,138.54,62620,25769,94057
75.85,190.54,68556,26811,91505
68.82,233.11,73464,25149,85009
57.44,252.61,71355,21405,71274
44.99,263.83,60071,17327,50461
32.28,272.16,44529,12295,29074
36.93,90.46,78318,19442,78983
49.61,99.45,73490,21252,90433
61.85,112.56,64512,22361,93301
72.38,138.06,60945,26538,92151
76.1,190.73,60444,30745,87900
68.99,233.62,60624,29600,78804
57.56,253.01,60551,25010,65927
45.1,264.15,50359,21084,47343
32.39,272.43,33949,15744,26403
37.26,89.65,58024,26135,73556
49.95,98.45,62084,24111,86261
62.26,111.27,50912,25124,85669
72.95,136.58,39330,30769,77534
76.82,191.26,38077,33282,72114
69.49,235.11,41373,31262,68142
57.94,254.18,47821,27256,60427
45.43,265.07,47398,22027,46450
32.72,273.2,33820,15986,27221
37.36,89.38,72070,21576,76899
50.05,98.13,63480,23120,82724
62.38,110.85,46180,25225,78593
73.13,136.08,38540,30155,75251
77.05,191.42,38506,33057,71537
69.65,235.6,38501,31481,64098
58.06,254.55,40395,27609,54414
45.53,265.36,38402,21801,40597
32.82,273.44,32563,13892,24632
37.45,89.12,76557,20195,78925
50.15,97.81,70951,21056,88210
62.5,110.43,58403,22549,87940
73.31,135.57,51760,26904,85983
77.27,191.57,56572,28710,84964
69.8,236.07,61939,26393,78004
58.17,254.92,63295,23251,66854
45.64,265.64,60350,17805,50996
32.93,273.68,46729,11364,29474
37.54,88.87,76859,19735,79290
50.24,97.49,72662,20185,90636
62.61,110.02,63416,20383,94356
73.47,135.06,64251,21881,95274
77.49,191.72,71913,24101,94494
69.95,236.53,72975,24590,86098
58.29,255.27,66783,23144,70411
45.74,265.92,52226,21003,49218
33.03,273.91,31878,16759,27306
37.62,88.61,78855,19669,79721
50.33,97.18,75354,19657,91191
62.72,109.61,66906,19168,96922
73.63,134.54,69035,20142,99513
77.7,191.85,79267,21158,98775
70.1,236.98,82381,20159,89906
58.4,255.62,78888,17771,74620
45.85,266.19,69449,14949,53482
33.14,274.13,51836,11154,29981
37.85,87.89,78201,20099,81116
50.56,96.29,74579,20218,92276
63,108.41,66116,19423,97163
74.06,132.98,68413,20224,99410
78.31,192.19,78942,21474,99395
70.53,238.28,82802,20468,91184
58.74,256.6,80114,18002,76010
46.15,266.95,71165,15128,54693
33.44,274.76,54188,11335,31086
37.91,87.66,80811,20141,82215
50.62,96,77000,20175,94103
63.08,108.02,68302,19332,98975
74.2,132.46,70421,20250,101050
78.5,192.28,81455,21577,100968
70.67,238.69,85268,20723,92621
58.84,256.91,81974,18402,77224
46.25,267.19,72831,15490,55793
33.54,274.96,55743,11598,31932
37.97,87.43,79026,20216,81472
50.69,95.72,74820,20323,93201
63.15,107.64,65477,19475,98080
74.32,131.94,68011,20342,100176
78.69,192.36,79233,21602,99576
70.8,239.09,81914,20732,90503
58.95,257.21,71128,21073,72588
46.35,267.42,54546,20927,50381
33.64,275.15,42694,14264,28778
38.03,87.21,79443,20208,81502
50.74,95.45,75111,20255,92703
63.22,107.27,65681,19494,97529
74.44,131.43,68286,20414,100185
78.87,192.43,79623,21737,100168
70.93,239.47,83370,20801,91461
59.05,257.5,80495,18402,76589
46.44,267.64,71344,15490,55654
33.73,275.33,54417,11598,31818
38.08,87,79342,20282,81633
50.79,95.18,74736,20355,92932
63.29,106.9,64831,19554,97678
74.55,130.91,68055,19985,101066
79.05,192.48,79528,21278,100710
71.06,239.85,82550,20801,90775
59.15,257.78,79449,18369,75553
46.54,267.86,70242,15424,54550
33.83,275.51,53448,11565,31299
38.2,86.39,76565,20665,79100
50.92,94.42,72565,20526,90603
63.45,105.86,62264,19658,95336
74.84,129.4,65150,20184,98455
79.54,192.54,75235,22551,97806
71.42,240.88,73523,24969,87291
59.45,258.55,66542,24771,71611
46.81,268.45,58402,20333,52741
34.11,275.99,44286,13926,32164
38.24,86.19,73729,21610,78094
50.95,94.19,62544,24950,85315
63.49,105.53,46950,27824,87280
74.92,128.91,48849,29101,89988
79.69,192.54,59974,29553,89416
71.54,241.2,59906,29980,81067
59.54,258.79,52080,28808,65809
46.9,268.63,39710,24830,45294
34.2,276.14,29064,17906,26395
38.26,86.01,78320,20557,81556
50.98,93.96,73569,20553,92628
63.53,105.21,62470,19693,96871
75,128.42,65917,20074,100082
79.84,192.51,78867,21529,100649
71.65,241.5,82528,21758,92715
59.64,259.01,79757,19327,77755
46.99,268.8,70959,15819,55758
34.29,276.28,54494,11958,32491
38.29,85.83,76440,20455,79775
51.01,93.73,71115,20609,90317
63.56,104.9,59640,19976,93458
75.07,127.94,62075,20957,96150
79.98,192.47,74866,22627,96987
71.76,241.78,76620,23532,88603
59.73,259.22,65729,24473,71836
47.08,268.96,46481,23429,48949
34.38,276.41,28323,18251,27288
38.31,85.66,54058,29584,71719
51.03,93.52,60202,25792,85017
63.59,104.6,56782,21560,91776
75.13,127.48,61783,20988,95959
80.11,192.41,66423,25129,92679
71.87,242.05,51938,30523,75764
59.82,259.42,33684,30713,55629
47.16,269.11,21165,24805,37893
34.47,276.54,11727,16614,21700
38.35,85.18,73160,21395,79184
51.06,92.93,67826,21507,89851
63.65,103.78,55740,20679,93824
75.28,126.15,57934,21038,95703
80.48,192.14,70993,22278,95241
72.17,242.75,75499,22628,88280
60.07,259.95,72232,20748,73657
47.41,269.52,58169,19343,52883
34.72,276.86,36561,17261,30689
38.35,85.04,75041,20808,79217
51.06,92.75,70287,20695,89710
63.66,103.52,58394,19752,93536
75.32,125.74,61761,20165,96777
80.59,192.01,75998,21578,97932
72.26,242.95,79930,21817,90820
60.15,260.11,77105,19464,76305
47.49,269.63,68192,15950,54759
34.8,276.96,51944,12122,31889
38.35,84.9,75235,20872,79456
51.06,92.58,70877,20665,89988
63.66,103.28,58540,19957,93473
75.35,125.33,58657,21893,94871
80.7,191.87,68847,25157,95132
72.35,243.13,71938,25788,88020
60.23,260.25,70191,22493,73083
47.57,269.74,63087,17685,54143
34.88,277.04,49569,13026,34018
38.35,84.77,75779,20802,79414
51.06,92.42,71050,20710,90318
63.67,103.05,59107,19652,94187
75.38,124.95,61014,20419,96878
80.79,191.7,71271,23292,95739
72.44,243.3,71393,25105,86144
60.31,260.38,68224,23610,72511
47.64,269.84,62584,18942,54870
34.95,277.12,50650,12983,33398
38.34,84.65,74545,21135,78236
51.05,92.26,68694,21630,88943
63.66,102.84,56318,20980,92654
75.4,124.58,58698,21770,94748
80.89,191.53,71289,23799,95116
72.52,243.44,74691,24264,88362
60.39,260.49,70604,22908,74513
47.72,269.93,60733,19197,54470
35.03,277.19,46619,13578,33296
38.3,84.33,74800,20977,78698
51.01,91.86,69935,20869,89732
63.63,102.27,57386,19855,93298
75.43,123.58,60004,20470,96742
81.12,190.89,74719,22100,98577
72.76,243.77,79517,22375,91624
60.6,260.76,76719,20177,77099
47.93,270.14,67710,16812,57222
35.24,277.36,51862,12892,35569
38.28,84.24,77635,21159,80999
50.98,91.75,72159,21221,91995
63.61,102.1,59469,20055,95819
75.43,123.28,62520,20502,98779
81.18,190.65,77259,22361,100322
72.83,243.84,81956,22768,93494
60.67,260.83,79357,20410,79025
47.99,270.19,71297,16841,59176
35.31,277.4,55512,12984,35957
38.25,84.15,75235,21246,79129
50.96,91.65,70021,21229,90028
63.59,101.95,57202,20028,93758
75.43,123,60485,20414,97005
81.24,190.4,75021,22259,98652
72.9,243.88,79119,22598,91066
60.73,260.88,76389,20149,76485
48.05,270.23,68049,16575,57225
35.37,277.43,52777,12687,35833
38.23,84.07,73342,21197,77826
50.93,91.55,68454,21246,88669
63.57,101.82,55253,20227,92171
75.42,122.74,57376,20849,95578
81.29,190.13,72563,22404,96886
72.96,243.91,77503,22514,89885
60.8,260.92,74599,20215,75895
48.12,270.26,65924,16772,56244
35.43,277.45,50454,12925,34993
38.19,84.01,73001,21223,77832
50.9,91.47,68645,21092,88465
63.54,101.69,55541,20088,92027
75.4,122.51,58558,20502,95017
81.34,189.84,73812,22004,96473
73.02,243.92,78014,22388,89734
60.85,260.95,75472,20139,75608
48.18,270.28,67195,16584,56557
35.49,277.47,51863,12729,35631
38.09,83.85,72959,21231,77155
50.79,91.27,67908,21318,86586
63.43,101.41,53685,20616,87773
75.33,121.92,51694,23191,88043
81.43,188.93,61897,26833,89271
73.18,243.83,66739,26970,84381
61.02,260.95,62737,25733,71148
48.34,270.28,49983,23572,51498
35.65,277.47,35985,18305,31220
38.04,83.81,64711,22786,73226
50.75,91.23,64192,22569,85570
63.39,101.34,52749,21841,88437
75.29,121.77,55282,22248,92245
81.44,188.6,69267,23866,95261
73.23,243.76,71478,25142,87803
61.07,260.92,66341,24944,72919
48.39,270.27,57604,20762,54125
35.7,277.45,43092,14611,33307
38,83.78,73631,21139,76913
50.7,91.19,68969,21234,88055
63.35,101.29,55408,20138,91605
75.26,121.65,57946,20645,94671
81.45,188.27,72505,22640,96624
73.27,243.67,75568,23593,89490
61.11,260.88,72029,21704,74844
48.43,270.24,64426,17886,55887
35.75,277.43,50665,13482,35528
37.95,83.76,73894,21308,77702
50.65,91.17,69344,21490,89037
63.3,101.25,56618,20285,92817
75.22,121.54,58885,20823,96038
81.45,187.94,73621,22708,98208
73.31,243.56,78490,23045,91616
61.16,260.83,76147,20753,77507
48.48,270.21,68439,17141,58098
35.79,277.4,53587,13189,36732
37.9,83.75,73650,21450,77491
50.6,91.15,69129,21524,88811
63.25,101.23,56057,20313,92624
75.17,121.45,58380,20912,95944
81.45,187.6,73556,22837,98183
73.34,243.43,78441,23184,91616
61.2,260.77,76045,20857,77507
48.52,270.16,68284,17174,58098
35.83,277.36,53483,13189,36732
37.74,83.76,74267,21507,77676
50.44,91.17,70006,21570,88913
63.09,101.24,56454,20428,92649
75.01,121.34,58304,20938,95919
81.39,186.57,73352,22843,98106
73.42,242.92,78099,23172,91483
61.3,260.5,75616,20772,77344
48.62,269.97,67795,17167,57988
35.93,277.2,53013,13255,36704
37.68,83.78,73481,21589,77663
50.38,91.2,69309,21740,88942
63.03,101.27,56216,20605,92337
74.95,121.34,57664,21119,95656
81.36,186.22,72669,22967,97877
73.44,242.71,77656,23393,91217
61.33,260.38,74092,21483,76801
48.65,269.88,64959,18244,57004
35.96,277.13,50561,13997,35983
37.62,83.81,73094,21589,76886
50.32,91.24,68718,21772,88006
62.96,101.32,55604,20749,91694
74.88,121.37,57002,21199,94859
81.31,185.88,71742,22936,96882
73.45,242.48,76909,23322,90454
61.35,260.25,73382,21183,76094
48.68,269.79,64058,17819,56240
35.99,277.05,50197,13645,35534
37.56,83.84,71683,21490,75515
50.26,91.28,67730,21664,86767
62.9,101.38,54639,20666,90572
74.81,121.42,56592,21030,93932
81.27,185.55,71227,22708,96065
73.46,242.24,76001,23116,89445
61.37,260.11,73521,20923,75718
48.7,269.69,65396,17370,56685
36.01,276.97,50296,13385,35612
37.49,83.89,72194,21630,76684
50.19,91.34,68590,21706,87649
62.83,101.46,55338,20696,91050
74.74,121.49,56732,21178,94337
81.21,185.21,71552,22868,96604
73.46,241.97,76711,23219,90241
61.39,259.96,74329,20958,76423
48.72,269.58,66637,17305,57324
36.02,276.88,51968,13287,36274
37.29,84.07,70703,21691,75335
49.99,91.57,66887,22027,86457
62.62,101.76,54861,20819,90483
74.5,121.82,54215,22120,91696
81,184.26,62269,25868,90429
73.44,241.08,65118,27021,83852
61.41,259.43,67861,22984,72695
48.76,269.19,64222,17560,56028
36.06,276.56,50297,13320,35691
37.21,84.15,66138,22673,73102
49.92,91.67,62283,23289,83155
62.55,101.89,49916,23149,88835
74.42,121.98,53358,22868,94185
80.92,183.96,68005,24137,95634
73.42,240.75,70813,25456,88309
61.41,259.23,68528,24139,74284
48.76,269.05,60912,19872,55895
36.06,276.44,45674,14617,34637
37.14,84.23,71302,21499,74963
49.85,91.78,66168,22093,86532
62.47,102.03,52711,21373,90366
74.33,122.15,54816,21599,93116
80.83,183.67,69413,23141,94664
73.4,240.41,74068,23515,87932
61.41,259.01,69949,22362,74135
48.76,268.89,60192,19023,54752
36.06,276.32,44548,13884,33667
37.07,84.33,68941,22033,74855
49.77,91.89,64887,22424,85953
62.39,102.19,50928,21909,90023
74.23,122.35,52635,22226,93250
80.73,183.4,67981,23528,95188
73.37,240.05,73050,23798,89031
61.4,258.79,71113,21184,75070
48.76,268.73,63982,17328,56050
36.05,276.18,49381,13214,35270
36.99,84.43,69333,21961,74721
49.69,92.02,65278,22357,85799
62.31,102.36,51705,21847,89878
74.14,122.56,53440,21986,93180
80.63,183.13,67906,23458,94482
73.33,239.67,71814,24159,87589
61.39,258.56,70088,21466,73954
48.75,268.56,63081,17364,55356
36.04,276.04,48286,13216,34866
36.75,84.78,69270,21676,73535
49.46,92.46,66775,21905,85483
62.06,102.94,54940,21233,90142
73.83,123.32,56000,21749,93117
80.28,182.41,69593,23175,94438
73.2,238.47,74493,23410,88149
61.32,257.79,72294,20960,74470
48.7,268,64426,17233,55809
35.99,275.59,49382,13190,35227
36.67,84.91,70169,21661,73847
49.38,92.62,67868,21864,85338
61.98,103.16,56789,20990,89523
73.72,123.6,57486,21413,93024
80.15,182.2,70370,23036,94923
73.14,238.05,74931,23344,88652
61.29,257.51,72435,20947,74931
48.68,267.79,64654,17272,56023
35.96,275.42,49983,13188,35342
36.58,85.05,68805,21935,73131
49.29,92.8,66038,22354,84233
61.89,103.39,54768,21835,88244
73.61,123.91,56789,21928,92388
80.01,182,70197,23025,94642
73.07,237.62,74810,23288,88415
61.26,257.23,72232,21026,74796
48.65,267.58,62629,17500,55318
35.93,275.25,45801,13649,33880
36.5,85.2,59448,24399,67907
49.21,92.98,50083,29753,75715
61.8,103.63,36315,32650,78611
73.5,124.23,36518,32271,79875
79.87,181.82,45215,32113,79019
73,237.18,50192,31696,75954
61.22,256.94,49495,29158,65155
48.61,267.37,38505,25147,47039
35.9,275.07,28354,19128,28940
36.41,85.35,63677,23817,72928
49.12,93.17,60743,24521,83439
61.7,103.89,51488,23650,86072
73.38,124.57,52905,24068,89339
79.72,181.65,65321,25011,93367
72.93,236.73,71808,24050,88309
61.17,256.63,70641,21106,73521
48.57,267.14,61709,17395,54494
35.86,274.89,46064,13450,33712
36.15,85.87,72935,22225,76252
48.86,93.8,70781,22489,88616
61.42,104.72,60793,21564,93389
73,125.67,61416,21988,96439
79.23,181.22,72947,23598,97750
72.66,235.33,77048,23940,91111
61,255.67,74200,21538,76774
48.43,266.43,65887,17755,57154
35.71,274.3,50530,13549,35722
36.06,86.05,71059,21722,73951
48.77,94.03,69174,22027,86018
61.32,105.03,59623,21078,90723
72.87,126.06,60246,21472,93723
79.06,181.11,70867,23114,94894
72.55,234.85,74335,23623,88224
60.93,255.34,71221,21303,74144
48.37,266.18,63367,17364,55079
35.65,274.1,48177,13023,34296
35.97,86.24,68288,21970,72698
48.68,94.27,66462,22354,85134
61.22,105.34,57452,21438,90213
72.74,126.47,58812,21724,92818
78.88,181.01,69485,23427,93492
72.44,234.37,73225,23674,87036
60.86,255,70667,21065,73440
48.31,265.92,62643,17396,54692
35.59,273.89,47894,13252,34087
35.88,86.44,70195,21637,73192
48.59,94.51,68561,22027,85174
61.11,105.66,59263,21320,90595
72.6,126.9,59844,21689,93570
78.69,180.92,69576,23591,93921
72.33,233.89,72714,24469,86974
60.78,254.65,70723,21702,73546
48.24,265.66,63417,17429,55077
35.53,273.67,48913,13088,34389
35.79,86.65,69314,21871,72241
48.5,94.77,64811,23804,82465
61.01,105.99,53461,23882,87482
72.46,127.33,52651,24435,88818
78.5,180.85,57986,27629,85622
72.2,233.4,56330,29214,78268
60.7,254.29,54833,26300,65973
48.17,265.39,49919,21637,49101
35.45,273.45,38053,16654,30687
35.51,87.31,71848,21253,73831
48.21,95.58,70182,21724,86188
60.69,107.05,61710,21137,92018
72.02,128.7,62424,21509,95199
77.89,180.71,72624,22797,95609
71.79,231.93,76402,23045,88730
60.41,253.19,73791,20687,74822
47.92,264.55,65849,16945,55832
35.21,272.76,50373,12866,34784
35.41,87.55,72707,21287,74439
48.12,95.86,71208,21820,87133
60.58,107.43,63154,21168,93197
71.86,129.18,63910,21540,96530
77.67,180.68,73860,22927,96992
71.64,231.44,77700,23149,89973
60.31,252.81,75033,20756,75771
47.83,264.26,66909,17010,56442
35.12,272.53,51156,12859,35102
35.31,87.79,73061,21077,74253
48.02,96.15,71505,21624,86827
60.46,107.81,63388,21107,92731
71.7,129.67,63340,21506,95534
77.45,180.67,70026,23868,95918
71.49,230.95,66176,27379,87255
60.2,252.43,56989,28411,70179
47.73,263.97,49045,24884,50961
35.02,272.28,38755,18230,31762
35.22,88.04,72372,21180,73886
47.92,96.46,69193,22470,85102
60.35,108.2,60210,22533,89498
71.54,130.17,61550,22751,93564
77.23,180.67,68108,24008,94056
71.32,230.47,66119,25473,83219
60.08,252.04,62018,25235,68819
47.63,263.67,56374,20466,52319
34.92,272.04,43219,13707,32133
35.12,88.29,70780,21683,74026
47.82,96.76,68641,22443,87009
60.23,108.6,60823,21605,93084
71.38,130.67,60494,22397,94259
77,180.68,63111,25948,91406
71.15,229.98,57285,28626,81073
59.95,251.66,52931,27351,65962
47.52,263.36,51886,21117,49803
34.81,271.79,42370,13685,31367
34.82,89.09,68769,21369,72182
47.51,97.73,67888,21890,85126
59.87,109.85,60724,21526,91846
70.86,132.23,60967,21919,95013
76.28,180.76,69698,23031,94547
70.6,228.55,73286,23306,86766
59.54,250.47,70260,20749,72063
47.16,262.43,62306,16632,53023
34.46,271.01,47895,12255,32634
34.72,89.37,67106,18273,55615
47.41,98.07,70755,19672,74034
59.74,110.28,66425,20008,86671
70.68,132.76,68839,20978,96216
76.03,180.81,78413,22608,102356
70.41,228.08,83406,23419,101505
59.4,250.07,82941,21698,93033
47.03,262.12,78062,18779,77408
34.34,270.75,68270,15928,55524
34.62,89.66,65352,18101,54401
47.3,98.41,68721,19524,72600
59.62,110.72,65060,19778,85156
70.5,133.3,67344,20705,94474
75.77,180.86,76287,22358,100516
70.21,227.61,81216,23118,99288
59.24,249.67,80912,21372,90702
46.9,261.8,76269,18520,75617
34.21,270.48,66783,15735,54317
34.52,89.95,65251,17970,54404
47.19,98.76,68328,19463,72691
59.49,111.17,64748,19809,85028
70.31,133.84,67070,20746,94399
75.51,180.92,76076,22310,100490
70,227.15,81513,22979,99765
59.08,249.26,81267,21204,91206
46.76,261.47,76653,18295,75644
34.07,270.21,67116,15510,54264
34.42,90.24,66883,17317,54630
47.09,99.12,70765,19345,73438
59.36,111.62,67672,19671,86444
70.12,134.39,69688,20643,96041
75.24,180.99,78382,22242,102127
69.78,226.7,83415,22917,100778
58.92,248.86,82739,21190,92003
46.61,261.15,78139,18391,76692
33.93,269.94,68577,15639,55032
34.11,91.17,63954,18027,53235
46.76,100.22,68096,19850,71196
58.95,113.03,65272,20447,84253
69.53,136.06,65311,22302,93111
74.42,181.24,68714,25559,96639
69.1,225.38,68902,27397,92261
58.38,247.64,68495,26937,84184
46.14,260.16,67146,22813,71373
33.48,269.1,59845,17363,52062
34,91.49,62054,17945,52160
46.64,100.6,65713,20091,70140
58.81,113.5,59467,21515,80021
69.32,136.62,58569,23082,85801
74.14,181.33,63679,26655,91846
68.86,224.95,62481,30814,90661
58.2,247.24,56415,31829,79325
45.98,259.83,55867,27284,65553
33.32,268.82,52708,19550,49269
33.9,91.81,59226,19205,51902
46.53,100.99,64928,20553,70851
58.67,113.99,62746,20645,83596
69.11,137.18,64042,21902,91981
73.85,181.43,70711,23992,96386
68.61,224.53,73830,25320,94414
58,246.83,69228,25465,84265
45.8,259.49,61132,23852,67451
33.15,268.54,53157,18972,48705
33.79,92.14,65651,16775,53254
46.41,101.38,69798,19451,71569
58.52,114.48,67108,20183,85479
68.9,137.74,69748,21041,95064
73.56,181.53,78700,22126,100465
68.36,224.11,83288,22513,100193
57.8,246.43,82908,20909,91373
45.63,259.16,78402,17940,73967
32.98,268.25,68723,15028,52020
33.68,92.47,68331,16802,54472
46.3,101.78,72546,19457,73034
58.38,114.97,70413,19868,86611
68.68,138.31,72794,20729,96086
73.26,181.64,80423,22126,101789
68.1,223.71,84777,21676,100011
57.59,246.02,84539,19877,90578
45.44,258.82,79506,17745,73744
32.81,267.96,69284,14996,51774
33.36,93.5,69372,16543,54784
45.94,103,73656,19236,73257
57.92,116.49,72377,19718,87144
68.01,140.01,74875,20512,96747
72.35,181.99,82181,21748,102049
67.29,222.54,86205,21267,100223
56.94,244.82,85636,19514,90712
44.87,257.8,80634,17453,73798
32.25,267.08,70355,14737,51450
33.25,93.85,70863,16408,55120
45.81,103.41,75864,19010,73655
57.76,117,74571,19917,87048
67.78,140.58,77096,20774,97120
72.03,182.11,84107,21692,102904
67.02,222.16,87772,21213,101051
56.71,244.42,86773,19470,91866
44.66,257.46,81728,17453,74657
32.06,266.79,71757,14737,51975
33.14,94.21,72772,16443,56176
45.69,103.83,77603,18938,74908
57.6,117.51,75933,19845,88260
67.54,141.14,78230,20740,98205
71.72,182.23,85143,21590,104335
66.73,221.8,88716,21111,102317
56.48,244.03,87661,19405,92456
44.46,257.12,82544,17388,75007
31.86,266.49,72420,14704,52080
33.02,94.57,73072,16444,56228
45.56,104.26,78074,19042,75218
57.44,118.03,76967,19979,88815
67.3,141.7,79379,20873,98913
71.4,182.36,85995,21760,105141
66.44,221.44,89661,21314,103112
56.24,243.63,89001,19569,93126
44.25,256.78,83786,17422,75491
31.66,266.2,73083,14674,52316
32.91,94.93,71363,16267,54902
45.44,104.69,76925,18904,74078
57.28,118.55,76044,19960,87649
67.06,142.27,78574,20897,97322
71.07,182.49,85568,21748,103477
66.15,221.09,88691,21190,101442
56,243.24,87496,19405,91879
44.03,256.43,82198,17355,74356
31.46,265.9,71375,14625,51030
32.57,96.05,67871,16052,52492
45.05,105.99,73630,18817,70908
56.76,120.13,73813,19882,84444
66.31,143.94,76727,20725,94203
70.08,182.89,82559,21458,99559
65.24,220.08,85066,20800,97376
55.24,242.09,83670,18952,87920
43.35,255.41,77384,17097,70215
30.81,265,65178,14674,47607
32.45,96.43,67001,16292,52054
44.91,106.44,73696,18862,70593
56.59,120.66,73968,20024,84582
66.05,144.49,76502,21015,94367
69.74,183.02,82393,21640,99799
64.92,219.76,84714,20993,97557
54.97,241.71,82903,19338,87430
43.12,255.07,76870,17293,69676
30.59,264.7,65561,14465,47185
32.33,96.81,67418,16042,52047
44.77,106.88,73078,18877,70843
56.41,121.19,73431,20185,85020
65.79,145.04,76436,21114,94926
69.4,183.16,82271,21692,99879
64.6,219.44,85135,21013,97183
54.71,241.33,83037,19215,86830
42.88,254.73,76534,17131,69000
30.36,264.4,66020,14238,47028
32.21,97.2,67708,15981,51856
44.64,107.33,73866,18816,70709
56.23,121.73,74342,19993,84551
65.53,145.59,76900,20879,94405
69.06,183.3,82246,21571,99667
64.28,219.13,84565,20935,96862
54.43,240.96,82801,19183,86725
42.64,254.39,76333,17260,68873
30.13,264.1,64439,14562,46288
32.1,97.59,66887,15971,51601
44.5,107.78,73047,18841,70207
56.04,122.26,73823,20068,83908
65.26,146.13,76783,20988,93684
68.71,183.43,82120,21718,98955
63.96,218.83,81364,23108,96047
54.16,240.59,75550,23000,83825
42.39,254.06,68912,19749,66891
29.9,263.79,59041,15728,47247
31.73,98.77,63924,16124,50010
44.07,109.15,70810,19332,69000
55.47,123.87,72729,20398,82980
64.43,147.73,76266,21131,93008
67.65,183.85,81252,21826,98215
62.96,217.98,83474,21001,95202
53.3,239.5,82146,18931,85224
41.62,253.05,76144,16643,67447
29.18,262.89,64195,13683,44651
31.61,99.17,66480,16108,51115
43.92,109.61,72900,19174,70122
55.27,124.4,74612,20470,83970
64.15,148.25,77572,21310,93735
67.29,183.99,81998,21820,98338
62.62,217.7,84203,20845,94829
53.01,239.15,82553,18780,84911
41.36,252.71,76229,16640,67210
28.93,262.58,64311,13715,44415
31.48,99.57,65924,15997,50674
43.77,110.07,72838,19042,69667
55.07,124.94,74710,20325,83605
63.87,148.77,77342,21192,93423
66.93,184.12,81806,21735,98020
62.27,217.44,84104,20803,94958
52.71,238.79,82476,18650,84923
41.09,252.38,76152,16380,66644
28.68,262.28,62730,13650,43597
31.35,99.97,66257,15936,50281
43.62,110.53,73199,18911,69279
54.87,125.47,74619,20365,83804
63.58,149.28,77628,21337,93517
66.57,184.26,82085,21812,98081
61.93,217.18,84004,20745,94959
52.41,238.45,82090,18616,84319
40.82,252.05,74669,16677,65758
28.42,261.98,61787,14012,42939
31.23,100.38,66916,15907,50404
43.47,111,74278,18861,69332
54.67,126.01,76501,20246,83493
63.28,149.79,79137,21245,93165
66.2,184.39,83214,21788,97713
61.58,216.92,85006,20930,94535
52.1,238.1,82834,18844,84391
40.55,251.72,76255,16544,66404
28.16,261.67,63801,13623,43386
30.83,101.61,66437,15872,49556
42.99,112.39,72245,19473,67418
54.03,127.6,72342,21501,80415
62.39,151.28,76680,22173,90815
65.09,184.79,82248,22308,96237
60.51,216.19,84203,21090,93224
51.17,237.09,82553,18737,83192
39.71,250.74,75617,16544,65111
27.37,260.77,62067,13623,41882
30.7,102.02,65133,16220,49063
42.83,112.86,71906,19994,67591
53.81,128.13,72125,22341,81016
62.09,151.77,74161,23765,89409
64.71,184.92,79412,23691,94138
60.15,215.96,82942,21707,92421
50.85,236.76,80679,19402,81807
39.43,250.41,73182,17053,63313
27.11,260.47,60716,13784,40962
30.57,102.44,66691,15872,49418
42.67,113.33,74744,18966,68693
53.59,128.65,77477,20421,82723
61.78,152.25,80543,21348,92304
64.34,185.05,83748,21823,96667
59.78,215.73,84500,20855,93129
50.53,236.43,82014,18737,82594
39.14,250.09,75180,16415,64082
26.84,260.17,62169,13299,41118
30.43,102.85,65671,15836,48653
42.5,113.8,73687,19000,67789
53.37,129.17,76526,20525,81864
61.47,152.72,79731,21417,91445
63.96,185.18,81611,22736,95258
59.42,215.51,78095,24438,90643
50.21,236.11,71234,24783,78714
38.85,249.77,63992,21272,61671
26.56,259.86,52982,15479,41222
30.29,103.27,65619,15863,48631
42.33,114.27,73831,18922,67629
53.15,129.69,76693,20358,82028
61.15,153.19,79779,21400,91531
63.58,185.31,82660,22051,95627
59.05,215.29,78060,24059,90570
49.88,235.79,67394,26218,76611
38.55,249.45,59204,22766,59019
26.29,259.56,50427,15951,39480
29.87,104.52,65949,15887,48323
41.81,115.67,74817,19207,67655
52.45,131.24,78244,20708,82185
60.2,154.55,81008,21677,92193
62.42,185.67,83822,22119,96401
57.93,214.66,84397,21101,92151
48.89,234.85,81243,19159,80784
37.66,248.5,73644,16835,62138
25.45,258.67,60151,13374,39035
29.73,104.94,65693,15887,48190
41.63,116.14,74667,19135,67361
52.21,131.75,78195,20636,81949
59.88,154.99,81434,21677,91504
62.04,185.79,84572,22190,95627
57.56,214.46,84797,20997,91800
48.56,234.55,81680,18694,80483
37.36,248.19,74106,16351,61552
25.16,258.37,59747,13049,38349
29.58,105.36,64062,15819,47250
41.45,116.6,72936,19088,66412
51.97,132.25,76444,20575,80836
59.55,155.43,79184,21597,90190
61.65,185.91,81676,22145,94079
57.18,214.27,81488,21231,89507
