SAl,SAz,DNI,DHI,GHI
25.4,226.54,70675,7228,26815
15.39,237.43,42311,3441,9671
13.27,120.43,49440,19608,36958
23.6,130.85,47612,27795,50205
32.25,143.78,47483,32147,59290
38.32,159.69,51861,32235,64240
40.81,178.01,61053,28390,64024
39.19,196.61,74378,19996,57308
33.81,213.15,81103,11650,44968
25.64,226.71,69488,7209,26815
15.6,237.62,40866,3492,9671
13.42,120.19,84360,9832,43328
23.79,130.62,93678,11621,60712
32.48,143.57,97617,12605,71643
38.58,159.54,98374,12915,75338
41.09,177.96,96783,12572,72030
39.47,196.66,93036,11614,62055
34.08,213.28,83895,10216,46004
25.88,226.89,66887,7612,26251
15.82,237.82,39729,3630,9545
13.58,119.94,71400,11610,39591
23.98,130.38,79620,14300,54885
32.7,143.36,78320,17133,63638
38.84,159.39,70890,21057,65309
41.38,177.9,60860,23005,58859
39.75,196.72,60950,18859,51105
34.34,213.42,70394,12686,42204
26.12,227.07,67499,7875,26445
16.03,238.03,41922,3526,10075
13.75,119.69,82795,9969,43354
24.18,130.14,92365,11759,60495
32.94,143.14,96985,12778,71820
39.11,159.24,98627,13123,76440
41.67,177.86,97869,12743,73658
40.04,196.79,94410,11749,63709
34.61,213.57,86633,10183,47773
26.36,227.26,71686,7444,27959
16.24,238.24,43274,3631,10430
14.28,118.93,83401,9934,44361
24.8,129.42,92365,11690,61366
33.67,142.5,96506,12709,72555
39.95,158.79,97869,13054,77070
42.57,177.73,96960,12754,74209
40.94,197.02,93450,11836,64534
35.43,214.05,86173,10259,48681
27.08,227.87,71502,7547,28652
16.88,238.91,43019,3766,10929
14.46,118.67,85509,10071,45501
25.02,129.17,94309,11827,62921
33.93,142.29,98601,12847,74366
40.24,158.64,99965,13158,78934
42.88,177.7,98955,12823,75941
41.24,197.11,95167,11938,65704
35.71,214.23,87012,10358,49434
27.33,228.09,71787,7646,29263
17.1,239.15,43248,3871,11226
14.65,118.41,78897,10980,43752
25.24,128.92,88613,12882,60791
34.19,142.07,93636,13816,72345
40.54,158.5,94962,14092,76718
43.2,177.67,94070,13511,73723
41.55,197.2,91647,12076,64157
35.99,214.41,84992,10259,48760
27.57,228.32,69870,7581,29083
17.31,239.39,41361,3837,11194
14.85,118.15,82970,10651,45527
25.47,128.68,92693,12147,63000
34.45,141.85,97743,12823,74550
40.84,158.35,99157,13101,79144
43.52,177.64,98197,12836,76230
41.86,197.3,94839,11904,66229
36.27,214.6,87315,10326,50226
27.82,228.55,72727,7682,30115
17.52,239.64,44319,3935,11794
15.05,117.89,84012,10139,45898
25.7,128.43,92137,12138,63002
34.72,141.64,95849,13366,74183
41.14,158.21,97869,13483,78986
43.84,177.62,96657,12905,75758
42.18,197.41,92390,12005,65231
36.56,214.8,86456,10592,50124
28.07,228.79,73806,7949,30860
17.74,239.9,45682,4073,12307
15.68,117.09,86885,10275,48060
26.43,127.67,94583,12011,65468
35.56,140.98,97900,13079,77123
42.08,157.78,99125,13427,81690
44.84,177.58,98711,13077,78776
43.13,197.78,95874,12108,68644
37.41,215.43,88224,10625,52159
28.81,229.55,73351,8128,31642
18.38,240.7,45049,4284,12853
15.9,116.83,84184,10241,47138
26.68,127.41,92516,11976,64339
35.84,140.76,95997,12975,75889
42.41,157.64,97385,13287,80456
45.18,177.57,97112,12974,77648
43.46,197.92,93905,12074,67699
37.7,215.66,86911,10562,51782
29.06,229.81,73263,7997,31766
18.59,240.98,45135,4253,12989
16.12,116.56,23246,26227,37615
26.93,127.16,34376,32298,52893
36.14,140.53,41476,35517,63300
42.73,157.5,53537,33598,70741
